Class,Status,Gender,Age
First,Died,Female,2
First,Died,Male,17
First,Died,Male,18
First,Died,Male,19
First,Died,Male,19
First,Died,Male,21
First,Died,Male,22
First,Died,Male,23
First,Died,Male,24
First,Died,Male,24
First,Died,Male,24
First,Died,Female,25
First,Died,Male,25
First,Died,Male,27
First,Died,Male,27
First,Died,Male,28
First,Died,Male,28
First,Died,Male,28.5
First,Died,Male,29
First,Died,Male,29
First,Died,Male,30
First,Died,Male,30
First,Died,Male,30
First,Died,Male,30
First,Died,Male,31
First,Died,Male,31
First,Died,Male,32.5
First,Died,Male,33
First,Died,Male,33
First,Died,Male,36
First,Died,Male,36
First,Died,Female,36
First,Died,Male,36
First,Died,Male,37
First,Died,Male,37
First,Died,Male,37
First,Died,Male,38
First,Died,Male,38
First,Died,Male,39
First,Died,Male,39
First,Died,Male,39
First,Died,Male,40
First,Died,Male,40
First,Died,Male,41
First,Died,Male,41
First,Died,Male,42
First,Died,Male,42
First,Died,Male,42
First,Died,Male,42
First,Died,Male,44
First,Died,Male,45
First,Died,Male,45
First,Died,Male,45
First,Died,Male,45.5
First,Died,Male,46
First,Died,Male,46
First,Died,Male,46
First,Died,Male,46
First,Died,Male,46
First,Died,Male,47
First,Died,Male,47
First,Died,Male,47
First,Died,Male,47
First,Died,Male,47
First,Died,Male,47
First,Died,Male,48
First,Died,Male,49
First,Died,Male,49
First,Died,Male,50
First,Died,Female,50
First,Died,Male,50
First,Died,Male,50
First,Died,Male,50
First,Died,Male,51
First,Died,Male,52
First,Died,Male,54
First,Died,Male,54
First,Died,Male,55
First,Died,Male,55
First,Died,Male,55
First,Died,Male,55
First,Died,Male,56
First,Died,Male,56
First,Died,Male,57
First,Died,Male,57
First,Died,Male,58
First,Died,Male,58
First,Died,Male,60
First,Died,Male,61
First,Died,Male,61
First,Died,Male,61
First,Died,Male,62
First,Died,Male,62
First,Died,Female,63
First,Died,Male,64
First,Died,Male,64
First,Died,Male,64
First,Died,Male,65
First,Died,Male,65
First,Died,Male,67
First,Died,Male,70
First,Died,Male,71
First,Died,Male,71
First,Survived,Male,0.9167
First,Survived,Male,4
First,Survived,Male,6
First,Survived,Male,11
First,Survived,Male,13
First,Survived,Female,14
First,Survived,Female,15
First,Survived,Female,16
First,Survived,Female,16
First,Survived,Female,16
First,Survived,Female,17
First,Survived,Female,17
First,Survived,Male,17
First,Survived,Female,18
First,Survived,Female,18
First,Survived,Female,18
First,Survived,Female,18
First,Survived,Female,18
First,Survived,Female,19
First,Survived,Female,19
First,Survived,Female,19
First,Survived,Female,21
First,Survived,Female,21
First,Survived,Female,21
First,Survived,Male,21
First,Survived,Female,22
First,Survived,Female,22
First,Survived,Female,22
First,Survived,Female,22
First,Survived,Female,22
First,Survived,Female,22
First,Survived,Female,23
First,Survived,Female,23
First,Survived,Male,23
First,Survived,Female,23
First,Survived,Female,23
First,Survived,Female,24
First,Survived,Female,24
First,Survived,Female,24
First,Survived,Female,24
First,Survived,Female,24
First,Survived,Male,24
First,Survived,Male,25
First,Survived,Male,25
First,Survived,Female,25
First,Survived,Female,26
First,Survived,Male,26
First,Survived,Female,26
First,Survived,Male,27
First,Survived,Male,27
First,Survived,Female,27
First,Survived,Female,27
First,Survived,Male,27
First,Survived,Male,28
First,Survived,Female,28
First,Survived,Male,28
First,Survived,Female,29
First,Survived,Female,29
First,Survived,Female,30
First,Survived,Female,30
First,Survived,Female,30
First,Survived,Female,30
First,Survived,Male,30
First,Survived,Female,30
First,Survived,Female,30
First,Survived,Male,31
First,Survived,Female,31
First,Survived,Male,31
First,Survived,Female,31
First,Survived,Female,31
First,Survived,Female,32
First,Survived,Male,32
First,Survived,Female,33
First,Survived,Female,33
First,Survived,Female,33
First,Survived,Female,33
First,Survived,Female,33
First,Survived,Male,34
First,Survived,Female,35
First,Survived,Female,35
First,Survived,Female,35
First,Survived,Female,35
First,Survived,Female,35
First,Survived,Male,35
First,Survived,Female,35
First,Survived,Male,35
First,Survived,Female,35
First,Survived,Male,35
First,Survived,Female,35
First,Survived,Male,36
First,Survived,Male,36
First,Survived,Female,36
First,Survived,Female,36
First,Survived,Female,36
First,Survived,Male,36
First,Survived,Male,36
First,Survived,Female,36
First,Survived,Male,37
First,Survived,Female,37
First,Survived,Female,38
First,Survived,Female,38
First,Survived,Male,38
First,Survived,Female,38
First,Survived,Female,39
First,Survived,Female,39
First,Survived,Female,39
First,Survived,Female,39
First,Survived,Female,39
First,Survived,Female,39
First,Survived,Male,40
First,Survived,Female,40
First,Survived,Female,40
First,Survived,Female,41
First,Survived,Female,42
First,Survived,Male,42
First,Survived,Male,42
First,Survived,Male,43
First,Survived,Female,43
First,Survived,Female,43
First,Survived,Female,44
First,Survived,Female,44
First,Survived,Female,45
First,Survived,Male,45
First,Survived,Female,45
First,Survived,Female,45
First,Survived,Female,45
First,Survived,Male,45
First,Survived,Male,45
First,Survived,Female,45
First,Survived,Female,47
First,Survived,Female,47
First,Survived,Male,48
First,Survived,Female,48
First,Survived,Female,48
First,Survived,Female,48
First,Survived,Male,48
First,Survived,Female,48
First,Survived,Female,48
First,Survived,Male,48
First,Survived,Male,49
First,Survived,Male,49
First,Survived,Female,49
First,Survived,Male,49
First,Survived,Female,49
First,Survived,Female,50
First,Survived,Male,50
First,Survived,Female,50
First,Survived,Male,51
First,Survived,Female,51
First,Survived,Female,51
First,Survived,Female,52
First,Survived,Male,52
First,Survived,Female,52
First,Survived,Female,53
First,Survived,Female,53
First,Survived,Male,53
First,Survived,Male,53
First,Survived,Female,54
First,Survived,Female,54
First,Survived,Female,54
First,Survived,Male,54
First,Survived,Female,55
First,Survived,Female,55
First,Survived,Female,55
First,Survived,Female,56
First,Survived,Male,56
First,Survived,Female,58
First,Survived,Female,58
First,Survived,Female,58
First,Survived,Female,58
First,Survived,Female,59
First,Survived,Female,60
First,Survived,Female,60
First,Survived,Male,60
First,Survived,Female,60
First,Survived,Female,62
First,Survived,Female,63
First,Survived,Female,64
First,Survived,Female,64
First,Survived,Female,76
First,Survived,Male,80
Second,Survived,Female,26
Second,Survived,Male,31
Second,Survived,Female,33
Second,Died,Male,14
Second,Died,Male,16
Second,Died,Male,16
Second,Died,Male,17
Second,Died,Male,18
Second,Died,Male,18
Second,Died,Male,18
Second,Died,Male,18
Second,Died,Male,18
Second,Died,Male,18
Second,Died,Female,18
Second,Died,Male,18.5
Second,Died,Male,19
Second,Died,Male,19
Second,Died,Male,19
Second,Died,Male,19
Second,Died,Male,21
Second,Died,Male,21
Second,Died,Male,21
Second,Died,Male,21
Second,Died,Male,21
Second,Died,Male,21
Second,Died,Male,22
Second,Died,Female,22
Second,Died,Male,23
Second,Died,Male,23
Second,Died,Male,23
Second,Died,Male,23
Second,Died,Male,23
Second,Died,Male,23
Second,Died,Male,23
Second,Died,Male,23
Second,Died,Male,24
Second,Died,Male,24
Second,Died,Male,24
Second,Died,Male,24
Second,Died,Male,24
Second,Died,Female,24
Second,Died,Male,25
Second,Died,Male,25
Second,Died,Male,25
Second,Died,Male,25
Second,Died,Male,25
Second,Died,Male,25
Second,Died,Male,25
Second,Died,Male,25
Second,Died,Male,26
Second,Died,Male,26
Second,Died,Female,26
Second,Died,Male,26
Second,Died,Male,26
Second,Died,Male,27
Second,Died,Male,27
Second,Died,Male,27
Second,Died,Male,27
Second,Died,Female,27
Second,Died,Male,27
Second,Died,Male,28
Second,Died,Male,28
Second,Died,Male,28
Second,Died,Male,28
Second,Died,Male,28
Second,Died,Male,28
Second,Died,Female,29
Second,Died,Male,29
Second,Died,Male,29
Second,Died,Male,29
Second,Died,Male,29
Second,Died,Male,30
Second,Died,Male,30
Second,Died,Female,30
Second,Died,Male,30
Second,Died,Male,30
Second,Died,Male,30
Second,Died,Male,30
Second,Died,Male,30
Second,Died,Male,30
Second,Died,Male,30
Second,Died,Male,31
Second,Died,Male,31
Second,Died,Male,31
Second,Died,Male,32
Second,Died,Male,32
Second,Died,Male,32
Second,Died,Male,32
Second,Died,Male,32.5
Second,Died,Male,33
Second,Died,Male,34
Second,Died,Male,34
Second,Died,Male,34
Second,Died,Male,34
Second,Died,Male,34
Second,Died,Male,34
Second,Died,Male,35
Second,Died,Male,35
Second,Died,Male,35
Second,Died,Male,36
Second,Died,Male,36
Second,Died,Male,36
Second,Died,Male,36
Second,Died,Male,36
Second,Died,Male,36.5
Second,Died,Male,37
Second,Died,Female,38
Second,Died,Male,38
Second,Died,Male,39
Second,Died,Male,39
Second,Died,Male,39
Second,Died,Male,40
Second,Died,Male,40
Second,Died,Male,40
Second,Died,Male,41
Second,Died,Male,41
Second,Died,Male,42
Second,Died,Male,42
Second,Died,Male,42
Second,Died,Male,42
Second,Died,Male,43
Second,Died,Male,43
Second,Died,Female,44
Second,Died,Male,44
Second,Died,Male,44
Second,Died,Male,46
Second,Died,Male,47
Second,Died,Male,47
Second,Died,Male,48
Second,Died,Male,49
Second,Died,Male,50
Second,Died,Male,50
Second,Died,Male,51
Second,Died,Male,52
Second,Died,Male,52
Second,Died,Male,54
Second,Died,Male,54
Second,Died,Male,54
Second,Died,Male,57
Second,Died,Male,57
Second,Died,Female,57
Second,Died,Male,59
Second,Died,Male,60
Second,Died,Female,60
Second,Died,Male,61
Second,Died,Male,62
Second,Died,Male,63
Second,Died,Male,66
Second,Died,Male,70
Second,Survived,Male,0.6667
Second,Survived,Male,0.8333
Second,Survived,Male,0.8333
Second,Survived,Female,0.9167
Second,Survived,Male,1
Second,Survived,Female,1
Second,Survived,Male,1
Second,Survived,Male,2
Second,Survived,Female,2
Second,Survived,Male,2
Second,Survived,Female,3
Second,Survived,Male,3
Second,Survived,Male,3
Second,Survived,Female,4
Second,Survived,Female,4
Second,Survived,Female,5
Second,Survived,Female,6
Second,Survived,Female,7
Second,Survived,Female,8
Second,Survived,Male,8
Second,Survived,Male,8
Second,Survived,Female,8
Second,Survived,Female,12
Second,Survived,Female,12
Second,Survived,Female,13
Second,Survived,Female,14
Second,Survived,Female,15
Second,Survived,Female,17
Second,Survived,Female,17
Second,Survived,Female,18
Second,Survived,Female,18
Second,Survived,Female,19
Second,Survived,Female,19
Second,Survived,Male,19
Second,Survived,Female,19
Second,Survived,Female,20
Second,Survived,Female,20
Second,Survived,Male,20
Second,Survived,Female,20
Second,Survived,Female,21
Second,Survived,Female,21
Second,Survived,Female,22
Second,Survived,Female,22
Second,Survived,Female,22
Second,Survived,Male,22
Second,Survived,Female,23
Second,Survived,Female,24
Second,Survived,Male,24
Second,Survived,Female,24
Second,Survived,Female,24
Second,Survived,Female,24
Second,Survived,Female,24
Second,Survived,Female,24
Second,Survived,Female,24
Second,Survived,Female,24
Second,Survived,Female,24
Second,Survived,Female,25
Second,Survived,Female,25
Second,Survived,Male,26
Second,Survived,Female,27
Second,Survived,Female,27
Second,Survived,Female,28
Second,Survived,Female,28
Second,Survived,Female,28
Second,Survived,Female,28
Second,Survived,Female,28
Second,Survived,Female,29
Second,Survived,Female,29
Second,Survived,Female,29
Second,Survived,Male,29
Second,Survived,Female,29
Second,Survived,Female,29
Second,Survived,Female,30
Second,Survived,Male,30
Second,Survived,Female,30
Second,Survived,Female,30
Second,Survived,Female,30
Second,Survived,Female,31
Second,Survived,Female,31
Second,Survived,Female,31
Second,Survived,Male,32
Second,Survived,Female,32
Second,Survived,Female,32.5
Second,Survived,Female,33
Second,Survived,Male,34
Second,Survived,Female,34
Second,Survived,Female,34
Second,Survived,Female,34
Second,Survived,Female,34
Second,Survived,Female,35
Second,Survived,Female,36
Second,Survived,Female,36
Second,Survived,Female,36
Second,Survived,Female,36
Second,Survived,Female,40
Second,Survived,Female,40
Second,Survived,Female,40
Second,Survived,Female,41
Second,Survived,Female,42
Second,Survived,Male,42
Second,Survived,Female,42
Second,Survived,Female,45
Second,Survived,Female,45
Second,Survived,Female,45
Second,Survived,Female,48
Second,Survived,Female,48
Second,Survived,Female,50
Second,Survived,Female,50
Second,Survived,Female,50
Second,Survived,Female,54
Second,Survived,Female,55
Second,Survived,Male,62
Third,Died,Male,2
Third,Died,Female,2
Third,Died,Female,2
Third,Died,Female,2
Third,Died,Male,4
Third,Died,Male,4
Third,Died,Male,7
Third,Died,Male,8
Third,Died,Female,9
Third,Died,Male,10
Third,Died,Male,10
Third,Died,Female,10
Third,Died,Male,11.5
Third,Died,Female,14
Third,Died,Male,14.5
Third,Died,Female,14.5
